Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CVA,Covanta Holding Corporation,15.35,2011231079,n/a,n/a,Basic Industries,Electric Utilities: Central,http://www.nasdaq.com/symbol/cva
CRWS,"Crown Crafts, Inc.",6.6,66381242.4,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CSWI,"CSW Industrials, Inc.",48.35,768183204.5,n/a,n/a,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/cswi
CTIB,CTI Industries Corporation,3.91,13783637.57,n/a,1997,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib
CULP,"Culp, Inc.",30.3,376967178.3,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/culp
UAN,"CVR Partners, LP",3.23,365904002.8,n/a,2011,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/uan
DELT,Delta Technology Holdings Limited,1.43,13754958.36,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/delt
DELTW,Delta Technology Holdings Limited,0.0198,0,n/a,2013,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/deltw
DEL,Deltic Timber Corporation,89.12,1086101697,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/del
DNN,Denison Mine Corp,0.4121,230398682.1,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DDC,Dominion Diamond Corporation,14.19,1162359050,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ddc
UFS,Domtar Corporation,44.37,2884098984,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ufs
DWDP,DowDuPont Inc.,71.18,1.66275E+11,n/a,2017,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dwdp
